16:20:31.928; 0; Start of recording
16:20:34.751; 1; FactoryStatus/Data; Program started
16:20:34.755; 2; MachineStatus/Data; {'CB1': ['FREE', 'None'], 'CB3': ['FREE', 'None'], 'CB4': ['FREE', 'None'], 'CB4_TO_WH': ['FREE', 'None'], 'CB4_TO_CB5': ['FREE', 'None'], 'CB5': ['FREE', 'None'], 'GR1': ['FREE', 'None'], 'GR2': ['FREE', 'None'], 'GR2_CB1_TO_CB3': ['FREE', 'None'], 'GR2_CB1_TO_PM': ['FREE', 'None'], 'GR2_PM_TO_CB3': ['FREE', 'None'], 'GR3': ['FREE', 'None'], 'VG2': ['FREE', 'None'], 'MPS': ['FREE', 'None'], 'PM': ['FREE', 'None'], 'SL': ['FREE', 'None'], 'WH': ['FREE', 'None'], 'WH_STORE': ['FREE', 'None'], 'WH_RETRIEVE': ['FREE', 'None'], 'WAITING': ['FREE', 'None'], 'TEST': ['FREE', 'None']}
16:20:39.727; 3; WHContent/Set; [['Carrier', 'Carrier', 'Carrier'], ['WHITE', 'RED', 'BLUE'], ['Carrier', 'Carrier', 'Carrier']]
16:20:39.727; 4; LineConfig/Set; {'name': 'Init', 'run': True, 'start_at': 'INIT', 'end_at': 'END'}
16:20:39.727; 5; LineConfig/Set; {'name': 'Line1', 'run': True, 'start_at': 'start', 'end_at': 'END', 'with_oven': True, 'with_saw': True, 'with_PM': False, 'with_WH': False, 'color': 'WHITE'}
16:20:39.727; 6; LineConfig/Set; {'name': 'Line2', 'run': True, 'start_at': 'start', 'end_at': 'storage', 'with_oven': False, 'with_saw': True, 'with_PM': True, 'with_WH': True, 'color': 'RED'}
16:20:39.727; 7; LineConfig/Set; {'name': 'Line3', 'run': True, 'start_at': 'start', 'end_at': 'END', 'with_PM': False, 'with_WH': True, 'color': 'BLUE'}
16:20:39.727; 8; LineConfig/Set; {'name': 'Line4', 'run': True, 'start_at': 'storage', 'end_at': 'END', 'color': 'RED'}
16:20:39.767; 9; FactoryStatus/Data; New line added: {'name': 'Init', 'run': True, 'start_at': 'INIT', 'end_at': 'END'}
16:20:40.001; 10; FactoryStatus/Data; New line added: {'name': 'Line1', 'run': True, 'start_at': 'start', 'end_at': 'END', 'with_oven': True, 'with_saw': True, 'with_PM': False, 'with_WH': False, 'color': 'WHITE'}
16:20:40.016; 11; FactoryStatus/Data; New line added: {'name': 'Line2', 'run': True, 'start_at': 'start', 'end_at': 'storage', 'with_oven': False, 'with_saw': True, 'with_PM': True, 'with_WH': True, 'color': 'RED'}
16:20:40.016; 12; FactoryStatus/Data; New line added: {'name': 'Line3', 'run': True, 'start_at': 'start', 'end_at': 'END', 'with_PM': False, 'with_WH': True, 'color': 'BLUE'}
16:20:40.032; 13; FactoryStatus/Data; New line added: {'name': 'Line4', 'run': True, 'start_at': 'storage', 'end_at': 'END', 'color': 'RED'}
16:20:40.032; 14; LineStatus/Data; {'Init': {'self': {'state': 'INIT', 'product_at': None}}}
16:20:40.032; 15; LineStatus/Data; {'Line1': {'self': {'state': 'INIT', 'product_at': None}}}
16:20:40.032; 16; LineStatus/Data; {'Line2': {'self': {'state': 'INIT', 'product_at': None}}}
16:20:40.032; 17; LineStatus/Data; {'Line3': {'self': {'state': 'INIT', 'product_at': None}}}
16:20:40.032; 18; LineStatus/Data; {'Line4': {'self': {'state': 'INIT', 'product_at': None}}}
16:20:40.225; 19; FactoryCommand/Set; {'run': True}
16:20:40.341; 20; LineStatus/Data; {'Init': {'self': {'state': 'INIT', 'product_at': None}, 'GR1': {'status': 'INIT'}, 'GR2': {'status': 'INIT'}, 'GR3': {'status': 'INIT'}, 'VG1': {'status': 'INIT'}, 'VG2': {'status': 'INIT'}, 'WH': {'status': 'INIT'}}}
16:20:40.631; 21; LineStatus/Data; {'Init': {'self': {'state': 'INIT', 'product_at': None}, 'GR1': {'status': 'INIT'}, 'GR2': {'status': 'INIT'}, 'GR3': {'status': 'INIT'}, 'VG1': {'status': 'INIT'}, 'VG2': {'status': 'INIT'}}}
16:20:40.649; 22; LineStatus/Data; {'Init': {'self': {'state': 'INIT', 'product_at': None}, 'GR1': {'status': 'INIT'}, 'GR2': {'status': 'INIT'}, 'VG1': {'status': 'INIT'}, 'VG2': {'status': 'INIT'}}}
16:20:40.690; 23; LineStatus/Data; {'Init': {'self': {'state': 'INIT', 'product_at': None}, 'GR1': {'status': 'INIT'}, 'VG1': {'status': 'INIT'}, 'VG2': {'status': 'INIT'}}}
16:20:40.711; 24; LineStatus/Data; {'Init': {'self': {'state': 'INIT', 'product_at': None}, 'GR1': {'status': 'INIT'}, 'VG2': {'status': 'INIT'}}}
16:20:40.732; 25; LineStatus/Data; {'Init': {'self': {'state': 'INIT', 'product_at': None}, 'GR1': {'status': 'INIT'}}}
16:20:41.226; 26; FactoryConfig/Set; {'exit_if_end': True}
16:20:48.497; 27; LineStatus/Data; {'Init': {'self': {'state': 'END', 'product_at': None}}}
16:20:48.533; 28; FactoryStatus/Data; Stopped line: Init
16:20:48.560; 29; MachineStatus/Data; {'GR1': ['RUNNING', 'Line1']}
16:20:48.571; 30; MachineStatus/Data; {'WH': ['BLOCKED', 'Line4']}
16:20:48.571; 31; MachineStatus/Data; {'WH_STORE': ['BLOCKED', 'Line4']}
16:20:48.571; 32; MachineStatus/Data; {'WH_RETRIEVE': ['RUNNING', 'Line4']}
16:20:48.571; 33; LineStatus/Data; {'Line1': {'self': {'state': 'GR1', 'product_at': None}}}
16:20:48.571; 34; LineStatus/Data; {'Line2': {'self': {'state': 'INIT', 'product_at': None}, 'waiting_for': 'GR1'}}
16:20:48.579; 35; LineStatus/Data; {'Line3': {'self': {'state': 'INIT', 'product_at': None}, 'waiting_for': 'GR1'}}
16:20:48.579; 36; LineStatus/Data; {'Line4': {'self': {'state': 'WH_RETRIEVE', 'product_at': None}}}
16:20:48.594; 37; MachineStatus/Data; {'MPS': ['RUNNING', 'Line1']}
16:20:48.607; 38; LineStatus/Data; {'Line1': {'self': {'state': 'GR1', 'product_at': None}, 'GR1': {'status': 'INIT'}, 'MPS': {'status': 'INIT'}}}
16:20:48.612; 39; LineStatus/Data; {'Line4': {'self': {'state': 'WH_RETRIEVE', 'product_at': None}, 'WH': {'status': 'INIT'}, 'VG1': {'status': 'INIT'}}}
16:20:49.031; 40; LineStatus/Data; {'Line4': {'self': {'state': 'WH_RETRIEVE', 'product_at': 'WH'}, 'WH': {'status': 'INIT'}, 'VG1': {'status': 'INIT'}}}
16:20:49.068; 41; LineStatus/Data; {'Line4': {'self': {'state': 'WH_RETRIEVE', 'product_at': 'WH'}, 'WH': {'status': 'MOVING_TO_RACK'}, 'VG1': {'status': 'INIT'}}}
16:20:49.089; 42; LineStatus/Data; {'Line1': {'self': {'state': 'GR1', 'product_at': None}, 'GR1': {'status': 'TO_MOVING_POS'}, 'MPS': {'status': 'INIT'}}}
16:20:49.100; 43; LineStatus/Data; {'Line4': {'self': {'state': 'WH_RETRIEVE', 'product_at': 'WH'}, 'WH': {'status': 'MOVING_TO_RACK'}, 'VG1': {'status': 'TO_DESTINATION'}}}
16:20:53.405; 44; LineStatus/Data; {'Line1': {'self': {'state': 'GR1', 'product_at': None}, 'GR1': {'status': 'TO_DESTINATION'}, 'MPS': {'status': 'INIT'}}}
16:20:56.264; 45; LineStatus/Data; {'Line4': {'self': {'state': 'WH_RETRIEVE', 'product_at': 'WH'}, 'WH': {'status': 'GETTING_PRODUCT'}, 'VG1': {'status': 'TO_DESTINATION'}}}
16:20:59.439; 46; LineStatus/Data; {'Line1': {'self': {'state': 'GR1', 'product_at': None}, 'GR1': {'status': 'GRIPPING'}, 'MPS': {'status': 'INIT'}}}
16:21:00.282; 47; LineStatus/Data; {'Line1': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'GRIPPING'}, 'MPS': {'status': 'INIT'}}}
16:21:00.293; 48; LineStatus/Data; {'Line1': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'TO_MOVING_POS'}, 'MPS': {'status': 'INIT'}}}
16:21:03.355; 49; LineStatus/Data; {'Line4': {'self': {'state': 'WH_RETRIEVE', 'product_at': 'WH'}, 'WH': {'status': 'MOVING_TO_CB'}, 'VG1': {'status': 'TO_DESTINATION'}}}
16:21:07.310; 50; LineStatus/Data; {'Line1': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'MOVING'}, 'MPS': {'status': 'INIT'}}}
