2023-05-04 13:47:21,024; CRITICAL; MainThread          ; logger    ; <module>                 ( 45); PROGRAM START
####################################################################################################
2023-05-04 13:47:21,172; WARNING ; MainThread          ; machine   ; switch_state             ( 78); Main: Switching state to: GR2
2023-05-04 13:47:21,174; INFO    ; MainThread          ; main      ; __init__                 ( 98); Main: Start Mainloop
2023-05-04 13:47:21,177; DEBUG   ; MainThread          ; sensor    ; __init__                 ( 66); Created Sensor(ENCODER): GR2_ROTATION_ENCODER
2023-05-04 13:47:21,178; DEBUG   ; MainThread          ; sensor    ; __init__                 ( 66); Created Sensor(ENCODER): GR2_HORIZONTAL_ENCODER
2023-05-04 13:47:21,180; DEBUG   ; MainThread          ; sensor    ; __init__                 ( 66); Created Sensor(ENCODER): GR2_VERTICAL_ENCODER
2023-05-04 13:47:21,181; DEBUG   ; MainThread          ; actuator  ; __init__                 ( 59); Created Actuator: GR2_rotation
2023-05-04 13:47:21,182; DEBUG   ; MainThread          ; actuator  ; __init__                 ( 59); Created Actuator: GR2_horizontal
2023-05-04 13:47:21,183; DEBUG   ; MainThread          ; actuator  ; __init__                 ( 59); Created Actuator: GR2_vertical
2023-05-04 13:47:21,184; DEBUG   ; MainThread          ; robot_3d  ; __init__                 ( 81); Created 3D Robot: GR2
2023-05-04 13:47:21,184; DEBUG   ; MainThread          ; sensor    ; __init__                 ( 66); Created Sensor(COUNTER): GR2_HORIZONTAL_COUNTER
2023-05-04 13:47:21,185; DEBUG   ; MainThread          ; sensor    ; __del__                  ( 70); Destroyed Sensor(ENCODER): GR2_HORIZONTAL_ENCODER
2023-05-04 13:47:21,186; DEBUG   ; MainThread          ; sensor    ; __init__                 ( 66); Created Sensor(COUNTER): GR2_CLAW_COUNTER
2023-05-04 13:47:21,186; DEBUG   ; MainThread          ; actuator  ; __init__                 ( 59); Created Actuator: GR2_claw
2023-05-04 13:47:21,187; DEBUG   ; MainThread          ; grip_robot; __init__                 ( 47); Created Gripper Robot: GR2
2023-05-04 13:47:21,189; WARNING ; GR2_INIT            ; machine   ; switch_state             ( 78); GR2: Switching state to: INIT
2023-05-04 13:47:21,191; INFO    ; GR2_INIT            ; robot_3d  ; init                     (101); Initializing GR2, moving to init position
2023-05-04 13:47:21,194; INFO    ; GR2_INIT            ; robot_3d  ; move_all_axes            (219); GR2 :Moving axes to: (r:-, h:0, v:0)
2023-05-04 13:47:21,203; INFO    ; GR2_BWD             ; actuator  ; run_to_encoder_start     (213); GR2_BWD :Actuator running to encoder start
2023-05-04 13:47:21,206; INFO    ; GR2_BWD             ; actuator  ; run_to_sensor            ( 82); GR2_BWD :Actuator running to sensor: GR2_REF_SW_HORIZONTAL
2023-05-04 13:47:21,207; DEBUG   ; GR2_BWD             ; sensor    ; __init__                 ( 66); Created Sensor(REF_SWITCH): GR2_REF_SW_HORIZONTAL
2023-05-04 13:47:21,209; INFO    ; GR2_BWD             ; actuator  ; run_to_sensor            ( 89); GR2_BWD :Actuator already at sensor: GR2_REF_SW_HORIZONTAL
2023-05-04 13:47:21,210; INFO    ; GR2_BWD             ; actuator  ; stop                     (284); GR2_BWD :Stopped actuator
2023-05-04 13:47:21,213; DEBUG   ; GR2_BWD             ; sensor    ; __del__                  ( 70); Destroyed Sensor(REF_SWITCH): GR2_REF_SW_HORIZONTAL
2023-05-04 13:47:21,215; INFO    ; GR2_UP              ; actuator  ; run_to_encoder_start     (213); GR2_UP :Actuator running to encoder start
2023-05-04 13:47:21,216; INFO    ; GR2_UP              ; actuator  ; run_to_sensor            ( 82); GR2_UP :Actuator running to sensor: GR2_REF_SW_VERTICAL
2023-05-04 13:47:21,217; DEBUG   ; GR2_UP              ; sensor    ; __init__                 ( 66); Created Sensor(REF_SWITCH): GR2_REF_SW_VERTICAL
2023-05-04 13:47:21,218; INFO    ; GR2_UP              ; actuator  ; run_to_sensor            ( 89); GR2_UP :Actuator already at sensor: GR2_REF_SW_VERTICAL
2023-05-04 13:47:21,219; INFO    ; GR2_UP              ; actuator  ; stop                     (284); GR2_UP :Stopped actuator
2023-05-04 13:47:21,221; DEBUG   ; GR2_UP              ; sensor    ; __del__                  ( 70); Destroyed Sensor(REF_SWITCH): GR2_REF_SW_VERTICAL
2023-05-04 13:47:21,280; INFO    ; GR2_BWD             ; sensor    ; reset_encoder            (190); Reset encoder: GR2_HORIZONTAL_COUNTER
2023-05-04 13:47:21,310; INFO    ; GR2_UP              ; sensor    ; reset_encoder            (190); Reset encoder: GR2_VERTICAL_ENCODER
2023-05-04 13:47:21,312; INFO    ; GR2_INIT            ; robot_3d  ; move_all_axes            (249); GR2 :Axes moved to: (r:-, h:0, v:0)
2023-05-04 13:47:21,313; INFO    ; GR2_INIT            ; robot_3d  ; move_all_axes            (219); GR2 :Moving axes to: (r:0, h:-, v:-)
2023-05-04 13:47:21,317; INFO    ; GR2_CW              ; actuator  ; run_to_encoder_start     (213); GR2_CW :Actuator running to encoder start
2023-05-04 13:47:21,319; INFO    ; GR2_CW              ; actuator  ; run_to_sensor            ( 82); GR2_CW :Actuator running to sensor: GR2_REF_SW_ROTATION
2023-05-04 13:47:21,320; DEBUG   ; GR2_CW              ; sensor    ; __init__                 ( 66); Created Sensor(REF_SWITCH): GR2_REF_SW_ROTATION
2023-05-04 13:47:21,322; INFO    ; GR2_CW              ; actuator  ; run_to_sensor            ( 89); GR2_CW :Actuator already at sensor: GR2_REF_SW_ROTATION
